experiment,exp3_baseline_comparison,,,,,,,,,,,,,,,,,,,
type,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
bert,P_1,P_5,P_10,P_100,map_cut_1,map_cut_5,map_cut_10,map_cut_100,ndcg_cut_1,ndcg_cut_5,ndcg_cut_10,ndcg_cut_100,recall_1,recall_5,recall_10,recall_100,success_1,success_5,success_10,success_100
anthropic-haiku3.5-1300,0.0,0.1397959183673466,0.0698979591836733,0.0069897959183673,0.0,0.3145266439909296,0.3145266439909296,0.3145266439909296,0.0,0.4027760765887863,0.4027760765887863,0.4027760765887863,0.0,0.6343537414965986,0.6343537414965986,0.6343537414965986,0.0,0.6683673469387755,0.6683673469387755,0.6683673469387755
anthropic-haiku3.5-2000,0.0,0.1450331125827817,0.0725165562913908,0.0072516556291389,0.0,0.325485651214128,0.325485651214128,0.325485651214128,0.0,0.4196426371519883,0.4196426371519883,0.4196426371519883,0.0,0.663355408388521,0.663355408388521,0.663355408388521,0.0,0.7086092715231788,0.7086092715231788,0.7086092715231788
anthropic-haiku3.5-700,0.0,0.1396226415094338,0.0698113207547169,0.0069811320754717,0.0,0.3110062893081761,0.3110062893081761,0.3110062893081761,0.0,0.4032702932016595,0.4032702932016595,0.4032702932016595,0.0,0.6336477987421383,0.6336477987421383,0.6336477987421383,0.0,0.6886792452830188,0.6886792452830188,0.6886792452830188
anthropic-sonnet4-1300,0.0,0.1581632653061221,0.079081632653061,0.0079081632653061,0.0,0.2979591836734693,0.2979591836734693,0.2979591836734693,0.0,0.389177997100954,0.389177997100954,0.389177997100954,0.0,0.5960884353741497,0.5960884353741497,0.5960884353741497,0.0,0.6938775510204082,0.6938775510204082,0.6938775510204082
anthropic-sonnet4-2000,0.0,0.1820000000000005,0.0910000000000002,0.0090999999999999,0.0,0.3235962962962961,0.3235962962962961,0.3235962962962961,0.0,0.425987157504023,0.425987157504023,0.425987157504023,0.0,0.6433333333333332,0.6433333333333332,0.6433333333333332,0.0,0.7766666666666666,0.7766666666666666,0.7766666666666666
anthropic-sonnet4-700,0.0,0.1663551401869157,0.0831775700934578,0.0083177570093458,0.0,0.3137902388369677,0.3137902388369677,0.3137902388369677,0.0,0.4133931203017321,0.4133931203017321,0.4133931203017321,0.0,0.6370716510903426,0.6370716510903426,0.6370716510903426,0.0,0.7476635514018691,0.7476635514018691,0.7476635514018691
xai-grok4-1300,0.0051020408163265,0.1448979591836731,0.0724489795918365,0.0072448979591835,0.0051020408163265,0.3035430839002268,0.3035430839002268,0.3035430839002268,0.0051020408163265,0.3963604626467757,0.3963604626467757,0.3963604626467757,0.0051020408163265,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.0051020408163265,0.7040816326530612,0.7040816326530612,0.7040816326530612
xai-grok4-2000,0.0033112582781456,0.1516556291390732,0.0758278145695366,0.0075827814569535,0.0033112582781456,0.3165470934510669,0.3165470934510669,0.3165470934510669,0.0033112582781456,0.4159979926168071,0.4159979926168071,0.4159979926168071,0.0033112582781456,0.6490066225165563,0.6490066225165563,0.6490066225165563,0.0033112582781456,0.7450331125827815,0.7450331125827815,0.7450331125827815
xai-grok4-700,0.0,0.152830188679245,0.0764150943396225,0.0076415094339622,0.0,0.314622641509434,0.314622641509434,0.314622641509434,0.0,0.4165439763987024,0.4165439763987024,0.4165439763987024,0.0,0.6399371069182391,0.6399371069182391,0.6399371069182391,0.0,0.7641509433962265,0.7641509433962265,0.7641509433962265
baseline-SemEval-15-res-1300,0.2,0.1583999999999998,0.0791999999999999,0.00792,0.1826666666666666,0.4030555555555554,0.4030555555555554,0.4030555555555554,0.2,0.4654372740137531,0.4654372740137531,0.4654372740137531,0.1826666666666666,0.616,0.616,0.616,0.2,0.664,0.664,0.664
baseline-SemEval-16-res-2000,0.1290322580645161,0.0784946236559138,0.0392473118279569,0.0039247311827957,0.1115591397849462,0.2129778972520907,0.2129778972520907,0.2129778972520907,0.1290322580645161,0.250203215091053,0.250203215091053,0.250203215091053,0.1115591397849462,0.3257168458781362,0.3257168458781362,0.3257168458781362,0.1290322580645161,0.3763440860215054,0.3763440860215054,0.3763440860215054
,,,,,,,,,,,,,,,,,,,,
btm,P_1,P_5,P_10,P_100,map_cut_1,map_cut_5,map_cut_10,map_cut_100,ndcg_cut_1,ndcg_cut_5,ndcg_cut_10,ndcg_cut_100,recall_1,recall_5,recall_10,recall_100,success_1,success_5,success_10,success_100
anthropic-sonnet4-1300,0.0,0.1734693877551017,0.0913265306122448,0.0091326530612244,0.0,0.3097562358276644,0.3163382734045999,0.3163382734045999,0.0,0.4136151771952681,0.4259768135172925,0.4259768135172925,0.0,0.655952380952381,0.6887755102040817,0.6887755102040817,0.0,0.7571428571428571,0.7806122448979592,0.7806122448979592
anthropic-sonnet4-2000,0.0,0.1981333333333339,0.1016666666666669,0.0101666666666666,0.0,0.3384999999999997,0.341759259259259,0.341759259259259,0.0,0.4536774524672463,0.4592493884619988,0.4592493884619988,0.0,0.7082222222222222,0.7216666666666666,0.7216666666666666,0.0,0.8433333333333334,0.8533333333333333,0.8533333333333333
anthropic-sonnet4-700,0.0,0.1794392523364482,0.0934579439252334,0.0093457943925233,0.0,0.311178608515057,0.3154287197745141,0.3154287197745141,0.0,0.422670942622082,0.4302342405149349,0.4302342405149349,0.0,0.6834890965732087,0.7009345794392523,0.7009345794392523,0.0,0.7981308411214953,0.8130841121495326,0.8130841121495326
google-gemini2.5pro-1300,0.0092307692307692,0.1731282051282047,0.0892307692307691,0.0089230769230769,0.0092307692307692,0.3332222222222222,0.3370622710622711,0.3370622710622711,0.0092307692307692,0.4413314721593403,0.4493033233802569,0.4493033233802569,0.0092307692307692,0.7182905982905983,0.7410256410256411,0.7410256410256411,0.0092307692307692,0.7846153846153847,0.8051282051282052,0.8051282051282052
google-gemini2.5pro-2000,0.001328903654485,0.1860465116279075,0.0953488372093026,0.0095348837209301,0.001328903654485,0.3498597268364708,0.3532729525918893,0.3532729525918893,0.001328903654485,0.4658344974345961,0.4720901676296388,0.4720901676296388,0.001328903654485,0.7739756367663343,0.7906976744186045,0.7906976744186045,0.001328903654485,0.8245847176079735,0.8372093023255814,0.8372093023255814
google-gemini2.5pro-700,0.0,0.1768224299065418,0.0915887850467288,0.0091588785046729,0.0,0.3210020768431982,0.3255859664738169,0.3255859664738169,0.0,0.4274973188277967,0.4369279565735622,0.4369279565735622,0.0,0.7214953271028037,0.7476635514018691,0.7476635514018691,0.0,0.7514018691588784,0.7757009345794392,0.7757009345794392
xai-grok4-1300,0.0938775510204081,0.1761224489795914,0.0913265306122447,0.0091326530612244,0.0857142857142856,0.37953231292517,0.3833709912536442,0.3833709912536442,0.0938775510204081,0.4794621562525738,0.4861864148882155,0.4861864148882155,0.0857142857142856,0.708843537414966,0.7253401360544218,0.7253401360544218,0.0938775510204081,0.8061224489795917,0.8163265306122449,0.8163265306122449
xai-grok4-2000,0.0198675496688741,0.1758940397350999,0.0937086092715235,0.0093708609271522,0.016887417218543,0.3504047093451065,0.3578064227898663,0.3578064227898663,0.0198675496688741,0.4629676194544368,0.4760882239898871,0.4760882239898871,0.016887417218543,0.7304635761589404,0.7643487858719648,0.7643487858719648,0.0198675496688741,0.8324503311258278,0.8543046357615894,0.8543046357615894
xai-grok4-700,0.0,0.1943396226415091,0.1028301886792451,0.0102830188679245,0.0,0.3619549266247379,0.3694815064390536,0.3694815064390536,0.0,0.4840721802937411,0.4969809396955036,0.4969809396955036,0.0,0.7773584905660378,0.809748427672956,0.809748427672956,0.0,0.8773584905660377,0.8962264150943395,0.8962264150943395
baseline-SemEval-15-res-1300,0.16,0.2057599999999995,0.1223999999999998,0.01224,0.152,0.4484755555555557,0.4756779365079366,0.4756779365079366,0.16,0.5503874309065532,0.6014445607658182,0.6014445607658182,0.152,0.8156000000000001,0.9559999999999998,0.9559999999999998,0.16,0.8608,0.976,0.976
baseline-SemEval-16-res-2000,0.1408602150537634,0.1939784946236556,0.1204301075268817,0.0120430107526881,0.1233870967741935,0.41002688172043,0.442284946236559,0.442284946236559,0.1408602150537634,0.5132614321560798,0.5692324574744259,0.5692324574744259,0.1233870967741935,0.7695340501792116,0.9184587813620072,0.9184587813620072,0.1408602150537634,0.835483870967742,0.9301075268817204,0.9301075268817204
,,,,,,,,,,,,,,,,,,,,
ctm,P_1,P_5,P_10,P_100,map_cut_1,map_cut_5,map_cut_10,map_cut_100,ndcg_cut_1,ndcg_cut_5,ndcg_cut_10,ndcg_cut_100,recall_1,recall_5,recall_10,recall_100,success_1,success_5,success_10,success_100
anthropic-sonnet4-1300,0.0,0.1755102040816324,0.0913265306122448,0.0091326530612244,0.0,0.3101842403628118,0.3148347910592808,0.3148347910592808,0.0,0.4187083255356066,0.4260041325433086,0.4260041325433086,0.0,0.6717687074829932,0.6887755102040817,0.6887755102040817,0.0,0.773469387755102,0.7806122448979592,0.7806122448979592
anthropic-sonnet4-2000,0.0,0.2017333333333339,0.1016666666666669,0.0101666666666666,0.0,0.3397388888888886,0.3405484126984124,0.3405484126984124,0.0,0.4564179659207832,0.4580312850663295,0.4580312850663295,0.0,0.7179999999999999,0.7216666666666666,0.7216666666666666,0.0,0.8486666666666667,0.8533333333333333,0.8533333333333333
anthropic-sonnet4-700,0.0,0.1831775700934576,0.0934579439252334,0.0093457943925233,0.0,0.3213084112149532,0.3236300252188102,0.3236300252188102,0.0,0.4329252100872042,0.4367173055523071,0.4367173055523071,0.0,0.6922118380062304,0.7009345794392523,0.7009345794392523,0.0,0.8074766355140188,0.8130841121495326,0.8130841121495326
google-gemini2.5pro-1300,0.0,0.167384615384615,0.0892307692307691,0.0089230769230769,0.0,0.3092735042735043,0.3162891737891738,0.3162891737891738,0.0,0.4171428428792691,0.4319901340941988,0.4319901340941988,0.0,0.7020512820512821,0.7410256410256411,0.7410256410256411,0.0,0.76,0.8051282051282052,0.8051282051282052
google-gemini2.5pro-2000,0.0,0.1871096345514955,0.0953488372093026,0.0095348837209301,0.0,0.3588242894056845,0.3614583662922531,0.3614583662922531,0.0,0.4732738519539964,0.4784809907131631,0.4784809907131631,0.0,0.7769656699889256,0.7906976744186045,0.7906976744186045,0.0,0.8232558139534885,0.8372093023255814,0.8372093023255814
google-gemini2.5pro-700,0.0,0.1730841121495324,0.0915887850467288,0.0091588785046729,0.0,0.3147871235721702,0.3220690550363447,0.3220690550363447,0.0,0.4202278679712145,0.434372356760964,0.434372356760964,0.0,0.7093457943925234,0.7476635514018691,0.7476635514018691,0.0,0.742056074766355,0.7757009345794392,0.7757009345794392
